province,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
山东省,2017-11,53.55,105.44,19.92,44.04,0.96,40.47,83,二级
山东省,2017-12,76.68,127.72,26.04,51.79,1.37,28.17,106,三级
山西省,2017-01,89.41,129.3,86.6,40.1,1.9,36.52,121,三级
山西省,2017-02,67.61,102.11,64.43,34.71,1.51,49.23,93,二级
山西省,2017-03,47.92,77.48,34.44,28.07,1.06,64.06,71,二级
山西省,2017-04,37.69,71.53,19.39,24.42,0.8,71.98,63,二级
山西省,2017-05,38.81,77.02,13.84,19.36,0.67,98.69,67,二级
山西省,2017-06,40.51,67.92,16.6,18.42,0.79,116.75,67,二级
山西省,2017-07,40.7,64.54,14.83,15.68,0.86,109.19,63,二级
山西省,2017-08,39.95,61.94,15.27,17.63,0.88,89.4,60,二级
山西省,2017-09,44.69,78.62,19.53,25.79,0.98,74.14,67,二级
山西省,2017-10,46.31,73.42,18.71,29.35,1.06,42.22,66,二级
山西省,2017-11,49.68,90.79,32.22,35.13,1.2,39.01,75,二级
山西省,2017-12,59.73,98.61,49.65,38.29,1.47,33.68,86,二级
广东省,2017-01,46.11,61.69,10.76,22.96,1.0,53.44,65,二级
广东省,2017-02,38.91,52.32,9.9,19.51,0.81,61.91,56,二级
广东省,2017-03,32.67,50.95,9.32,23.77,0.83,52.22,50,一级
广东省,2017-04,30.25,46.36,8.91,19.56,0.69,63.34,47,一级
广东省,2017-05,29.7,45.16,8.86,16.5,0.68,75.08,46,一级
广东省,2017-06,14.98,24.75,6.11,13.39,0.57,45.68,27,一级
广东省,2017-07,17.21,26.56,6.05,14.25,0.55,46.71,28,一级
广东省,2017-08,18.32,28.77,6.47,14.1,0.55,55.25,31,一级
广东省,2017-09,27.64,41.66,8.59,16.01,0.65,64.51,43,一级
广东省,2017-10,31.31,45.04,11.39,16.42,0.7,70.99,47,一级
广东省,2017-11,37.44,52.11,12.24,22.66,0.8,53.0,54,二级
广东省,2017-12,49.55,69.14,15.24,30.62,0.86,60.33,70,二级
广西壮族自治区,2017-01,59.58,75.14,13.99,15.34,1.0,49.89,82,二级
广西壮族自治区,2017-02,49.59,65.2,12.58,13.36,0.83,58.55,69,二级
广西壮族自治区,2017-03,35.71,51.16,11.37,12.93,0.8,48.7,52,二级
广西壮族自治区,2017-04,34.43,49.75,10.04,10.76,0.66,66.13,51,二级
广西壮族自治区,2017-05,31.6,46.77,9.99,9.96,0.62,72.53,48,一级
广西壮族自治区,2017-06,20.93,32.98,7.78,8.15,0.58,52.81,34,一级
广西壮族自治区,2017-07,20.86,31.89,6.68,8.59,0.56,48.67,33,一级
广西壮族自治区,2017-08,19.11,30.87,6.7,8.49,0.56,50.35,32,一级
广西壮族自治区,2017-09,28.36,44.42,10.21,9.24,0.66,59.55,45,一级
广西壮族自治区,2017-10,34.92,50.99,13.51,11.08,0.7,65.23,52,二级
广西壮族自治区,2017-11,43.0,60.3,14.1,15.23,0.8,51.76,61,二级
广西壮族自治区,2017-12,54.51,74.28,17.04,20.52,0.85,54.29,76,二级
新疆维吾尔自治区,2017-01,13.28,17.23,3.11,4.26,0.45,60.1,31,一级
新疆维吾尔自治区,2017-02,12.08,20.54,2.48,3.69,0.39,57.89,31,一级
新疆维吾尔自治区,2017-03,17.61,27.43,2.45,2.74,0.25,67.44,37,一级
新疆维吾尔自治区,2017-04,22.61,28.53,1.49,1.91,0.19,72.47,43,一级
新疆维吾尔自治区,2017-05,34.69,39.91,1.22,1.98,0.17,86.11,56,二级
新疆维吾尔自治区,2017-06,27.96,31.79,1.23,1.67,0.16,82.53,49,一级
新疆维吾尔自治区,2017-07,32.92,36.57,1.21,1.57,0.17,75.01,52,二级
新疆维吾尔自治区,2017-08,28.55,32.47,1.34,1.68,0.18,74.57,46,一级
新疆维吾尔自治区,2017-09,29.35,35.19,1.43,2.06,0.19,72.56,50,一级
新疆维吾尔自治区,2017-10,27.29,35.86,1.6,2.64,0.22,66.0,46,一级
新疆维吾尔自治区,2017-11,9.86,15.92,2.44,3.41,0.29,63.66,33,一级
新疆维吾尔自治区,2017-12,11.48,15.97,2.58,3.67,0.35,57.83,30,一级
江苏省,2017-01,65.74,96.23,16.42,34.09,1.02,48.26,91,二级
江苏省,2017-02,68.53,97.72,17.58,35.89,0.96,59.67,95,二级
江苏省,2017-03,50.91,82.4,15.28,34.5,0.76,75.15,73,二级
江苏省,2017-04,48.41,88.82,16.11,32.41,0.8,94.72,75,二级
江苏省,2017-05,41.04,84.51,13.87,26.34,0.67,106.14,73,二级
江苏省,2017-06,38.72,66.72,11.73,21.43,0.65,104.03,64,二级
江苏省,2017-07,29.12,51.49,11.22,21.53,0.63,78.73,50,一级
江苏省,2017-08,29.25,50.54,11.41,19.22,0.65,81.2,51,二级
江苏省,2017-09,31.83,52.02,10.03,22.99,0.63,79.54,52,二级
江苏省,2017-10,32.86,54.0,10.32,26.39,0.6,63.98,53,二级
江苏省,2017-11,50.87,89.05,14.86,43.12,0.77,46.18,76,二级
江苏省,2017-12,75.99,116.34,18.47,51.85,1.03,33.18,104,三级
江西省,2017-01,64.2,86.32,16.97,22.43,1.03,46.79,88,二级
江西省,2017-02,52.84,71.75,14.7,17.38,0.86,58.12,73,二级
江西省,2017-03,38.37,56.23,14.13,17.92,0.77,56.07,56,二级
江西省,2017-04,36.69,56.39,14.91,14.62,0.68,74.1,54,二级
江西省,2017-05,39.67,58.55,13.47,12.12,0.67,85.49,58,二级
江西省,2017-06,25.35,36.29,10.62,9.66,0.6,60.27,38,一级
江西省,2017-07,22.0,33.55,8.0,8.94,0.51,54.13,35,一级
江西省,2017-08,23.77,35.78,9.96,8.5,0.54,62.19,38,一级
江西省,2017-09,32.77,47.76,12.36,10.18,0.67,74.43,50,一级
江西省,2017-10,34.56,50.08,14.52,14.71,0.71,67.49,51,二级
江西省,2017-11,49.13,68.97,17.18,23.34,0.85,48.6,69,二级
江西省,2017-12,57.48,81.17,20.18,28.75,0.89,43.79,79,二级
河北省,2017-01,88.51,129.48,29.88,44.22,1.76,33.42,119,三级
河北省,2017-02,64.04,93.86,25.78,36.18,1.16,47.86,89,二级
河北省,2017-03,46.97,75.73,18.01,31.33,0.79,64.31,70,二级
河北省,2017-04,43.18,79.08,14.02,26.08,0.64,70.93,68,二级
河北省,2017-05,44.38,93.78,12.72,21.34,0.61,101.44,76,二级
河北省,2017-06,38.51,67.3,12.66,20.31,0.66,116.68,68,二级
河北省,2017-07,42.5,65.38,9.81,16.82,0.69,105.67,66,二级
河北省,2017-08,36.72,57.77,9.82,18.43,0.64,85.66,56,二级
河北省,2017-09,43.22,77.05,12.8,27.07,0.71,82.82,66,二级
河北省,2017-10,47.85,73.79,11.16,31.67,0.79,41.75,69,二级
河北省,2017-11,41.97,73.66,14.66,35.1,0.8,37.8,65,二级
河北省,2017-12,50.98,79.86,18.51,37.47,1.1,32.85,74,二级
河南省,2017-01,109.3,161.67,27.01,44.16,1.84,34.9,146,三级
河南省,2017-02,86.65,131.34,26.97,37.11,1.37,51.97,117,三级
河南省,2017-03,64.6,107.77,22.36,35.53,1.03,64.14,92,二级
河南省,2017-04,48.05,93.53,17.73,28.07,0.96,78.45,77,二级
河南省,2017-05,45.23,102.44,14.69,22.72,0.8,106.02,80,二级
河南省,2017-06,44.08,80.15,12.14,21.07,0.84,116.64,72,二级
河南省,2017-07,33.28,58.47,9.02,15.46,0.82,93.13,56,二级
河南省,2017-08,37.21,63.89,11.18,17.94,0.89,95.04,59,二级
河南省,2017-09,38.56,70.38,12.8,24.65,0.89,78.43,61,二级
河南省,2017-10,46.76,78.12,13.36,32.57,0.98,48.09,67,二级
河南省,2017-11,67.34,117.83,18.75,45.81,1.02,40.2,95,二级
河南省,2017-12,84.23,130.58,20.5,47.95,1.28,33.89,116,三级
浙江省,2017-01,45.17,64.51,11.7,30.17,0.79,43.76,65,二级
浙江省,2017-02,45.72,63.24,11.34,25.79,0.7,57.28,65,二级
浙江省,2017-03,37.92,56.92,11.32,28.45,0.62,64.38,56,二级
浙江省,2017-04,36.89,58.81,11.8,25.25,0.64,77.7,56,二级
浙江省,2017-05,30.87,49.41,9.21,18.62,0.52,85.62,51,二级
浙江省,2017-06,25.16,37.23,7.92,18.24,0.53,66.84,41,一级
浙江省,2017-07,20.04,32.65,6.91,13.86,0.41,65.79,35,一级
浙江省,2017-08,21.87,34.49,8.04,13.22,0.48,67.14,37,一级
浙江省,2017-09,24.4,37.72,7.98,17.97,0.56,74.16,42,一级
浙江省,2017-10,26.75,42.16,9.64,22.61,0.58,67.36,44,一级
浙江省,2017-11,37.05,57.43,10.65,35.08,0.7,44.86,55,二级
浙江省,2017-12,55.38,81.95,13.93,42.68,0.84,37.6,77,二级
海南省,2017-01,24.45,36.73,5.99,6.1,0.48,69.85,42,一级
海南省,2017-02,24.3,34.99,5.84,5.85,0.46,68.9,42,一级
海南省,2017-03,22.69,32.81,3.44,5.02,0.38,70.19,39,一级
海南省,2017-04,17.94,26.94,3.98,5.22,0.35,67.15,36,一级
海南省,2017-05,17.11,24.71,3.72,4.55,0.32,63.52,33,一级
海南省,2017-06,6.08,9.85,1.59,4.07,0.26,48.37,25,一级
海南省,2017-07,7.36,11.18,1.94,4.59,0.27,44.41,23,一级
海南省,2017-08,6.3,9.81,1.73,4.32,0.25,44.46,23,一级
海南省,2017-09,10.6,15.13,2.43,4.87,0.27,44.28,24,一级
海南省,2017-10,23.47,31.55,7.38,5.67,0.43,73.86,42,一级
海南省,2017-11,23.21,33.6,8.3,7.28,0.45,68.03,41,一级
海南省,2017-12,30.67,43.02,10.49,7.91,0.49,74.86,47,一级
海外,2017-01,10.84,13.67,3.3,2.96,0.28,65.78,34,一级
海外,2017-02,10.28,13.36,2.75,2.67,0.27,66.63,34,一级
海外,2017-03,12.26,16.19,2.51,2.76,0.25,75.95,39,一级
海外,2017-04,10.48,14.01,2.05,2.32,0.22,79.96,41,一级
海外,2017-05,16.19,19.25,2.06,1.42,0.19,85.19,45,一级
海外,2017-06,11.4,13.14,1.45,1.11,0.16,78.81,42,一级
海外,2017-07,10.86,12.62,1.59,1.15,0.16,71.77,37,一级
海外,2017-08,9.83,11.35,1.59,1.22,0.16,74.05,38,一级
海外,2017-09,11.25,13.54,2.08,1.41,0.18,74.39,39,一级
海外,2017-10,9.2,12.11,3.02,1.99,0.2,72.17,37,一级
海外,2017-11,8.23,10.64,3.43,2.63,0.23,68.39,35,一级
海外,2017-12,10.02,12.62,4.15,3.24,0.26,64.29,33,一级
湖北省,2017-01,83.88,111.07,16.19,28.25,1.22,41.42,113,三级
湖北省,2017-02,61.27,83.89,15.23,22.08,1.0,50.59,84,二级
湖北省,2017-03,49.24,74.1,13.53,22.42,0.85,61.35,71,二级
湖北省,2017-04,37.92,61.68,11.92,17.63,0.77,73.0,58,二级
湖北省,2017-05,37.86,63.57,9.93,14.31,0.68,89.15,60,二级
湖北省,2017-06,35.7,54.2,9.51,11.46,0.67,86.36,54,二级
湖北省,2017-07,25.6,40.77,7.71,9.81,0.58,71.77,42,一级
湖北省,2017-08,29.57,45.57,9.39,9.85,0.67,75.96,46,一级
湖北省,2017-09,31.26,48.03,10.35,12.95,0.75,69.31,48,一级
湖北省,2017-10,33.14,50.93,11.39,17.13,0.75,52.6,49,一级
湖北省,2017-11,56.86,82.13,13.91,28.9,0.83,46.98,79,二级
湖北省,2017-12,72.5,99.68,15.21,35.6,0.99,38.43,98,二级
湖南省,2017-01,80.09,112.16,16.64,22.14,1.21,44.91,108,三级
湖南省,2017-02,53.34,76.73,14.24,16.93,1.04,51.85,74,二级
湖南省,2017-03,39.09,60.94,12.8,17.47,0.86,52.68,59,二级
湖南省,2017-04,33.44,55.34,12.5,14.04,0.76,67.68,53,二级
湖南省,2017-05,33.65,57.17,10.03,11.38,0.7,78.26,54,二级
湖南省,2017-06,24.41,39.72,9.04,9.07,0.75,63.12,41,一级
湖南省,2017-07,20.62,35.04,8.28,8.77,0.75,60.34,36,一级
湖南省,2017-08,22.47,37.62,9.0,8.75,0.76,63.15,38,一级
湖南省,2017-09,34.08,53.67,11.37,11.07,0.86,74.71,53,二级
湖南省,2017-10,35.87,56.19,11.89,15.19,0.84,58.91,54,二级
湖南省,2017-11,54.12,80.88,14.66,24.53,0.94,46.64,75,二级
湖南省,2017-12,67.43,98.4,17.63,31.62,1.03,42.7,92,二级
甘肃省,2017-01,24.09,42.83,9.77,10.08,0.54,55.47,42,一级
甘肃省,2017-02,21.65,40.23,8.42,8.72,0.46,57.25,41,一级
甘肃省,2017-03,21.06,35.34,7.17,7.26,0.36,69.24,41,一级
甘肃省,2017-04,19.7,31.23,4.03,5.57,0.24,76.38,41,一级
甘肃省,2017-05,24.82,40.14,3.48,4.93,0.21,93.47,54,二级
甘肃省,2017-06,25.77,36.88,4.47,4.78,0.23,91.16,50,一级
甘肃省,2017-07,21.13,30.27,4.51,4.34,0.21,86.08,45,一级
甘肃省,2017-08,22.19,30.44,5.17,4.49,0.24,78.69,42,一级
甘肃省,2017-09,20.18,29.83,4.62,5.58,0.25,73.11,39,一级
甘肃省,2017-10,20.06,30.23,5.5,6.6,0.29,61.45,35,一级
甘肃省,2017-11,18.16,33.63,6.57,10.05,0.4,58.63,36,一级
甘肃省,2017-12,22.06,43.73,7.69,11.84,0.52,52.65,42,一级
福建省,2017-01,31.98,45.03,11.68,16.83,0.73,51.24,47,一级
福建省,2017-02,30.74,42.5,10.64,15.16,0.63,64.67,45,一级
福建省,2017-03,28.36,43.18,10.9,18.24,0.64,62.52,45,一级
福建省,2017-04,27.17,42.53,10.44,15.09,0.62,72.16,45,一级
福建省,2017-05,24.91,39.16,8.87,11.52,0.56,78.27,44,一级
福建省,2017-06,15.58,25.43,7.36,10.81,0.52,53.81,30,一级
福建省,2017-07,15.3,25.88,6.3,9.68,0.4,50.38,27,一级
福建省,2017-08,19.33,31.53,7.56,10.05,0.48,57.77,33,一级
福建省,2017-09,22.68,34.72,8.5,9.84,0.49,70.41,39,一级
福建省,2017-10,21.7,32.07,9.58,11.77,0.48,71.98,39,一级
福建省,2017-11,25.95,38.02,11.17,16.5,0.56,56.14,41,一级
福建省,2017-12,34.26,48.66,13.07,21.05,0.63,55.59,51,二级
西藏自治区,2017-01,2.57,3.28,0.31,0.73,0.14,79.69,41,一级
西藏自治区,2017-02,3.03,3.77,0.32,0.65,0.13,74.56,38,一级
西藏自治区,2017-03,3.92,4.75,0.45,0.61,0.14,84.92,43,一级
西藏自治区,2017-04,5.73,6.68,0.5,0.57,0.15,97.8,50,一级
西藏自治区,2017-05,8.39,9.3,0.76,0.53,0.14,110.81,60,二级
西藏自治区,2017-06,8.98,9.88,0.72,0.6,0.14,94.32,48,一级
西藏自治区,2017-07,10.56,11.43,0.77,0.73,0.13,84.38,43,一级
西藏自治区,2017-08,10.89,11.8,0.89,0.75,0.14,88.43,45,一级
西藏自治区,2017-09,8.62,9.51,0.85,0.74,0.15,89.01,45,一级
西藏自治区,2017-10,6.55,7.21,0.58,0.75,0.13,84.79,43,一级
西藏自治区,2017-11,2.94,3.53,0.33,0.85,0.13,80.06,41,一级
西藏自治区,2017-12,2.13,2.74,0.18,0.89,0.12,75.43,39,一级
贵州省,2017-01,47.76,67.93,16.89,14.02,0.91,43.76,68,二级
贵州省,2017-02,40.13,58.05,15.29,12.29,0.77,53.76,58,二级
贵州省,2017-03,31.68,50.99,14.24,12.7,0.65,55.19,50,一级
贵州省,2017-04,29.74,48.02,10.22,10.27,0.51,72.91,48,一级
贵州省,2017-05,26.82,43.67,8.82,8.8,0.44,77.05,45,一级
贵州省,2017-06,23.65,38.57,8.98,8.57,0.48,61.57,40,一级
贵州省,2017-07,18.86,32.71,6.68,7.7,0.41,55.33,33,一级
贵州省,2017-08,20.2,34.98,7.44,7.26,0.42,59.06,36,一级
贵州省,2017-09,25.49,41.88,10.41,7.3,0.49,59.91,42,一级
贵州省,2017-10,28.08,44.28,12.84,9.49,0.52,52.62,44,一级
贵州省,2017-11,39.77,62.21,15.73,15.19,0.62,46.89,59,二级
贵州省,2017-12,48.04,74.03,19.89,19.56,0.78,45.81,68,二级
辽宁省,2017-01,59.86,85.38,35.26,32.83,1.22,38.98,84,二级
辽宁省,2017-02,46.43,66.35,25.22,25.11,0.93,52.31,67,二级
辽宁省,2017-03,45.74,67.74,19.62,24.27,0.77,62.58,66,二级
辽宁省,2017-04,34.11,63.42,11.17,17.93,0.63,78.3,58,二级
辽宁省,2017-05,31.17,63.13,8.88,13.78,0.54,96.58,63,二级
辽宁省,2017-06,28.11,45.16,9.48,15.06,0.58,98.18,54,二级
辽宁省,2017-07,29.23,46.03,8.53,12.88,0.6,98.71,53,二级
辽宁省,2017-08,21.91,36.1,8.32,13.03,0.59,69.59,39,一级
辽宁省,2017-09,26.39,44.47,10.77,18.14,0.66,70.9,45,一级
辽宁省,2017-10,37.09,56.36,12.94,25.56,0.79,51.39,56,二级
辽宁省,2017-11,31.28,53.23,17.86,23.51,0.74,45.07,51,二级
辽宁省,2017-12,43.22,65.4,24.82,29.99,1.03,32.79,64,二级
重庆市,2017-01,80.0,105.41,20.24,22.45,1.0,36.09,108,三级
重庆市,2017-02,55.58,74.56,17.77,18.55,0.81,43.06,77,二级
重庆市,2017-03,40.77,60.08,16.02,18.19,0.62,52.55,59,二级
重庆市,2017-04,34.6,52.14,13.68,16.46,0.53,62.8,52,二级
重庆市,2017-05,35.5,51.8,12.62,15.15,0.49,74.22,52,二级
重庆市,2017-06,35.7,52.08,13.63,13.88,0.56,72.51,52,二级
